dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,car_rental,booking,Booking_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,booking_line,Booking_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,booking_line,Line_Num,2,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,car,Car_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,car_make,CarMake_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,car_spec,Spec_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,car_state,CarState_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,car_type,CarType_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,card,Card_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,card_payment,Booking_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,customer,Cust_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,customer_type,CustType_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,office,Office_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,rental_price,CarState_ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,rental_price,Spec_ID,2,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,car_rental,booking,Pickup_DateTime,2,datetime,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,booking,Return_DateTime,3,datetime,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,booking,Payment_Type,4,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,booking,Booking_Status,5,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,booking,Return_Office,6,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,booking_line,Car_ID,3,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,booking_line,Line_Total,4,double,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car,Spec_ID,2,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car,Office_ID,3,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car,CarState_ID,4,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car,Mileage,5,double,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car_make,Description,2,varchar,100,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,CarMake_ID,2,varchar,20,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Model,3,varchar,20,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Prod_Year,4,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,CarType_ID,5,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Image_URL,6,varchar,200,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Seats,7,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Cruise_Control,8,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Air_Conditioning,9,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Parking_Sensor,10,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Heated_Seats,11,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Audio_Input,12,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Bluetooth,13,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Sunroof,14,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,car_spec,Price_Bought,15,double,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,car_state,Description,2,varchar,100,NULL,NULL,NULL,NULL
mysql,car_rental,car_type,Description,2,varchar,100,NULL,NULL,NULL,NULL
mysql,car_rental,card,Exp_Month,2,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,card,Exp_Year,3,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,card,Card_Num,4,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,card,Cust_ID,5,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,card_payment,Card_ID,2,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_FName,2,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_LName,3,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Phone,4,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Email,5,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Gender,6,varchar,1,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_LicenseNum,7,varchar,20,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_IssueLocation,8,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_DOB,9,date,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_StrAdd,10,varchar,100,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_City,11,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_State,12,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Zip,13,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Username,14,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,customer,Cust_Password,15,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer,CustType_ID,16,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,customer_type,Description,2,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,customer_type,Multiplier,3,double,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_StrAdd,2,varchar,100,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_City,3,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_State,4,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_Zip,5,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_Phone,6,int,NULL,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_Username,7,varchar,10,NULL,NULL,NULL,NULL
mysql,car_rental,office,Office_Password,8,varchar,50,NULL,NULL,NULL,NULL
mysql,car_rental,rental_price,Price,3,double,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,accounts,USER,1,char,32,NULL,NULL,NULL,NULL
mysql,performance_schema,accounts,HOST,2,char,60,NULL,NULL,NULL,NULL
mysql,performance_schema,accounts,CURRENT_CONNECTIONS,3,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,accounts,TOTAL_CONNECTIONS,4,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,cond_instances,NAME,1,varchar,128,NULL,NULL,NULL,NULL
mysql,performance_schema,cond_instances,OBJECT_INSTANCE_BEGIN,2,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,THREAD_ID,1,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,EVENT_ID,2,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,END_EVENT_ID,3,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,EVENT_NAME,4,varchar,128,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,SOURCE,5,varchar,64,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,TIMER_START,6,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,TIMER_END,7,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,TIMER_WAIT,8,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,WORK_COMPLETED,9,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,WORK_ESTIMATED,10,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,NESTING_EVENT_ID,11,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_current,NESTING_EVENT_TYPE,12,enum,11,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,THREAD_ID,1,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,EVENT_ID,2,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,END_EVENT_ID,3,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,EVENT_NAME,4,varchar,128,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,SOURCE,5,varchar,64,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,TIMER_START,6,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,TIMER_END,7,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,TIMER_WAIT,8,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,WORK_COMPLETED,9,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,WORK_ESTIMATED,10,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,NESTING_EVENT_ID,11,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history,NESTING_EVENT_TYPE,12,enum,11,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,THREAD_ID,1,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,EVENT_ID,2,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,END_EVENT_ID,3,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,EVENT_NAME,4,varchar,128,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,SOURCE,5,varchar,64,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,TIMER_START,6,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,TIMER_END,7,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,TIMER_WAIT,8,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,WORK_COMPLETED,9,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,WORK_ESTIMATED,10,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,NESTING_EVENT_ID,11,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_history_long,NESTING_EVENT_TYPE,12,enum,11,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_summary_by_account_by_event_name,USER,1,char,32,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_summary_by_account_by_event_name,HOST,2,char,60,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_summary_by_account_by_event_name,EVENT_NAME,3,varchar,128,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_summary_by_account_by_event_name,COUNT_STAR,4,bigint,NULL,NULL,NULL,NULL,NULL
mysql,performance_schema,events_stages_summary_by_account_by_event_name,SUM_TIMER_WAIT,5,bigint,NULL,NULL,NULL,NULL,NULL
